id,gsm_out,lte,nr_dss,nr_nsa_sa,nr_gesamt
100mN58749E4910,3,3,2,3,3
100mN58749E4922,3,3,2,3,3
100mN58749E4923,3,3,2,3,3
100mN58749E4924,3,3,2,3,3
100mN58749E4925,3,3,2,3,3
100mN58749E4926,3,3,2,3,3
100mN58749E4927,3,3,2,3,3
100mN58749E4928,3,3,2,3,3
100mN58749E4929,3,3,2,3,3
100mN58749E4930,3,3,2,3,3
100mN58749E4931,3,3,2,3,3
100mN58749E4932,3,3,2,3,3
100mN58749E4933,3,3,2,3,3
100mN58749E4934,3,3,2,3,3
100mN58749E4935,3,3,2,3,3
100mN58749E4936,3,3,2,3,3
100mN58749E4937,3,3,2,3,3
100mN58749E4938,3,3,2,3,3
100mN58749E4939,3,3,2,3,3
100mN58749E4940,3,3,2,3,3
100mN58749E4941,3,3,2,3,3
100mN58749E4942,3,3,2,3,3
100mN58749E4943,3,3,2,3,3
100mN58749E4944,3,3,2,3,3
100mN58749E4945,3,3,2,3,3
100mN58749E4946,3,3,2,3,3
100mN58749E4947,3,3,2,3,3
100mN58749E4948,3,3,2,3,3
100mN58749E4949,3,3,2,3,3
100mN58749E4950,3,3,2,3,3
100mN58749E4951,3,3,2,3,3
100mN58749E4952,3,3,2,3,3
100mN58749E4953,3,3,2,3,3
100mN58749E4954,3,3,2,3,3
100mN58749E4955,3,3,2,3,3
100mN58749E4956,3,3,2,3,3
100mN58749E4957,3,3,2,3,3
100mN58750E4877,3,3,2,2,3
100mN58750E4878,3,3,2,3,3
100mN58750E4879,3,3,2,3,3
100mN58750E4880,3,3,2,3,3
100mN58750E4881,3,3,2,3,3
100mN58750E4882,3,3,2,3,3
100mN58750E4883,3,3,2,3,3
100mN58750E4884,3,3,2,3,3
100mN58750E4885,3,3,2,3,3
100mN58750E4886,3,3,2,3,3
100mN58750E4887,3,3,2,3,3
100mN58750E4888,3,3,2,3,3
100mN58750E4889,3,3,2,3,3
100mN58750E4890,3,3,2,3,3
100mN58750E4891,3,3,2,3,3
100mN58750E4892,3,3,2,3,3
100mN58750E4893,3,3,2,3,3
100mN58750E4894,3,3,2,3,3
100mN58750E4895,3,3,1,3,3
100mN58750E4896,3,3,2,3,3
100mN58750E4897,3,3,2,3,3
100mN58750E4898,3,3,2,3,3
100mN58750E4899,3,3,2,3,3
100mN58750E4900,3,3,2,3,3
100mN58750E4901,3,3,2,3,3
100mN58750E4902,3,3,2,3,3
100mN58750E4903,3,3,2,3,3
100mN58750E4904,3,3,2,3,3
100mN58750E4905,3,3,1,3,3
100mN58750E4906,3,3,2,3,3
100mN58750E4907,3,3,2,3,3
100mN58750E4908,3,3,2,3,3
100mN58750E4909,3,3,2,3,3
100mN58750E4910,3,3,2,3,3
100mN58750E4911,3,3,2,3,3
100mN58750E4921,3,3,2,3,3
100mN58750E4922,3,3,2,3,3
100mN58750E4923,3,3,2,3,3
100mN58750E4924,3,3,2,3,3
100mN58750E4925,3,3,2,3,3
